period,num_trips,passenger_count,total_amount,trip_distance
2023-04-03,69,100.0,1693.55,179.48000000000002
2023-03-27,547311,708499.0,15524244.48999939,2126674.460000011
2023-03-20,734282,969894.0,20677278.619999304,2935793.8000000105
2023-03-13,787163,1044806.0,22096348.399999186,3079816.400000018
2023-03-06,774600,1019028.0,21182392.09999971,2737509.8900000216
2023-02-27,560275,739102.0,15152872.269999705,2407770.129999992
2023-02-20,55,54.0,910.8999999999999,0.01
2014-11-17,1,2.0,52.38,6.43
2008-12-29,2,2.0,65.95,14.33
2002-12-30,5,7.0,326.7,62.669999999999995
2001-01-01,3,5.0,171.7,34.22
